,tokens,tags,ner_tags_str,len
0,"['Kenyan' 'Firms' 'Eye' 'Deals' 'During' 'Obama' 'Summit' 'Tagged' ':'
 'The' 'Global' 'Entrepreneurship' 'Summit' ',' 'launched' 'by'
 'President' 'Obama' 'in' '2009' ',' 'brings' 'together' 'entrepreneurs'
 'and' 'investors' 'from' 'across' 'Africa' 'and' 'around' 'the' 'world'
 'annually' 'to' 'showcase' 'innovative' 'projects' ',' 'exchange' 'new'
 'ideas' ',' 'and' 'help' 'spur' 'economic' 'opportunity' '.']","[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]","['O' 'O' 'O' 'O' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",49
1,"['By' 'Neville' 'Otuki' 'Kenya' ""'s"" 'business' 'leaders' 'were' 'Monday'
 'planning' 'how' 'best' 'to' 'exploit' 'the' 'deal' '-' 'making'
 'opportunities' 'in' 'the' 'country' ""'s"" 'history' 'starting' 'this'
 'Friday' 'when' 'the' 'world' 'convenes' 'in' 'Nairobi' 'for' 'the'
 'Global' 'Entrepreneurship' 'Summit' '(' 'GES' ')' '.']","[0 1 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
 0 0 0 0 0]","['O' 'B-PER' 'I-PER' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",42
2,"['Industrialists' ',' 'entrepreneurs' 'and' 'bankers' 'said' 'through'
 'their' 'unions' ',' 'they' 'were' 'keen' 'to' 'find' 'global' 'partners'
 'with' 'expertise' 'and' 'financial' 'clout' 'to' 'help' 'drive' 'their'
 'expansion' 'in' 'East' 'Africa' 'and' 'beyond' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'I-LOC' 'O' 'O' 'O']",33
3,"['More' 'on' 'This' 'Kenya' ':' 'Mombasa' 'Road' ',' 'Uhuru' 'Highway' ','
 'Waiyaki' 'Way' 'Among' 'Roads' 'to' 'Be' 'Closed' 'During' 'Obama'
 'Visit' '-' 'Police' 'Expansion' 'of' 'the' 'private' 'sector' '-' 'the'
 'engine' 'of' 'the' 'economy' '-' 'would' 'trigger' 'economic' 'activity'
 ',' 'ignite' 'productivity' 'and' 'create' 'the' 'much' 'needed' 'jobs'
 'for' 'the' 'millions' 'of' 'unemployed' 'youth' '.']","[0 0 0 3 0 3 4 0 3 4 0 3 4 4 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","['O' 'O' 'O' 'B-LOC' 'O' 'B-LOC' 'I-LOC' 'O' 'B-LOC' 'I-LOC' 'O' 'B-LOC'
 'I-LOC' 'I-LOC' 'I-LOC' 'O' 'O' 'O' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",55
4,"['""' 'Local' 'manufacturers' 'will' 'be' 'looking' 'for' 'joint' 'venture'
 'deals' 'and' 'partnerships' 'to' 'boost' 'their' 'capacity' 'for'
 'growth' 'through' 'skills' 'transfer' 'besides' 'new' 'capital'
 'injection' ',' '""' 'the' 'Kenya' 'Association' 'of' 'Manufacturers' '('
 'KAM' ')' 'CEO' 'Phyllis' 'Wakiaga' 'said' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 6 6 0 5 0 0 1
 2 0 0]","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'I-ORG' 'I-ORG' 'I-ORG'
 'O' 'B-ORG' 'O' 'O' 'B-PER' 'I-PER' 'O' 'O']",40
5,"['A' 'number' 'of' 'industrialists' 'have' 'opened' 'talks' 'with' 'their'
 'global' 'counterparts' 'who' 'have' 'arrived' 'in' 'Kenya' 'ahead' 'of'
 'the' 'GES' 'which' 'opens' 'in' 'Nairobi' 'on' 'July' '24' 'and' 'will'
 'be' 'attended' 'by' 'US' 'President' 'Barack' 'Obama' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 1 2 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC'
 'O' 'B-PER' 'I-PER' 'O']",37
6,"['The' 'manufacturers' ',' 'like' 'other' 'local' 'entrepreneurs' 'and'
 'innovators' ',' 'have' 'been' 'allocated' 'exhibition' 'stands' 'at'
 'the' 'summit' 'venue' 'from' 'where' 'they' 'will' 'showcase' 'their'
 'products' 'and' 'facilitate' 'investors' 'interested' 'in' 'entering'
 'East' 'Africa' ""'s"" 'largest' 'economy' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 0 0
 0]","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'I-LOC'
 'O' 'O' 'O' 'O']",38
7,"['Kenya' 'Bankers' 'Association' 'chief' 'executive' 'Habil' 'Olaka'
 'said' 'lenders' 'would' 'be' 'keen' 'to' 'find' 'financing'
 'opportunities' 'in' 'deals' 'struck' 'between' 'local' 'and' 'foreign'
 'entrepreneurs' 'for' 'new' 'and' 'established' 'ventures' '.']",[5 6 6 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['B-ORG' 'I-ORG' 'I-ORG' 'O' 'O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",30
8,"['""' 'The' 'summit' 'will' 'provide' 'lenders' 'with' 'a' 'platform' 'to'
 'showcase' 'their' 'products' ',' '""' 'said' 'Mr' 'Olaka' 'adding' 'that'
 'Nairobi' ""'s"" 'hosting' 'of' 'the' 'global' 'event' 'was' 'a' 'vote'
 'of' 'confidence' 'in' 'the' 'economy' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-PER' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O']",36
9,"['Kenya' 'accounted' 'for' 'the' 'lion' ""'s"" 'share' 'of' 'private'
 'equity' 'in' 'East' 'Africa' 'taking' '63' 'per' 'cent' 'of' 'the'
 'reported' '$' '800' 'million' 'worth' 'of' 'deals' 'between' '2007'
 'and' '2014' '.']",[3 0 0 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'I-LOC' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",31
10,"['The' 'private' 'equity' 'survey' 'by' 'financial' 'consultancy' 'KPMG'
 'and' 'the' 'East' 'Africa' 'Venture' 'Capital' 'Association' '(' 'Eavca'
 ')' 'released' 'last' 'month' 'placed' 'Kenya' 'ahead' 'of' 'ahead' 'of'
 'Ethiopia' ',' 'Tanzania' ',' 'Rwanda' 'and' 'Uganda' '.']",[0 0 0 0 0 0 0 5 0 0 5 6 6 6 6 0 5 0 0 0 0 0 3 0 0 0 0 3 0 3 0 3 0 3 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'O' 'O' 'B-ORG' 'I-ORG' 'I-ORG'
 'I-ORG' 'I-ORG' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O'
 'B-LOC' 'O' 'B-LOC' 'O' 'B-LOC' 'O' 'B-LOC' 'O']",35
11,"['Several' 'state' '-' 'backed' 'agencies' 'charged' 'with' 'promoting'
 'and' 'attracting' 'foreign' 'direct' 'investments' 'will' 'also' 'be'
 'on' 'a' 'charm' 'offensive' 'to' 'sell' 'the' 'country' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O']",25
12,"['The' 'list' 'includes' 'Kenya' 'Investment' 'Authority' ',' 'Kenya'
 'National' 'Chamber' 'of' 'Commerce' '&' 'Industry' 'and' 'the' 'Brand'
 'Kenya' 'Board' '.']",[0 0 0 5 6 6 0 5 6 6 6 6 6 6 0 0 5 6 6 0],"['O' 'O' 'O' 'B-ORG' 'I-ORG' 'I-ORG' 'O' 'B-ORG' 'I-ORG' 'I-ORG' 'I-ORG'
 'I-ORG' 'I-ORG' 'I-ORG' 'O' 'O' 'B-ORG' 'I-ORG' 'I-ORG' 'O']",20
13,"['Kenya' 'is' 'the' 'first' 'country' 'in' 'sub' '-' 'Saharan' 'Africa'
 'to' 'host' 'the' 'annual' 'summit' 'and' 'second' 'in' 'Africa' 'after'
 'last' 'year' ""'s"" 'edition' 'in' 'Morocco' '.']",[3 0 0 0 0 0 3 4 4 4 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0],"['B-LOC' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'I-LOC' 'I-LOC' 'I-LOC' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O']",27
14,"['President' 'Uhuru' 'Kenyatta' 'is' 'co-hosting' 'the' 'summit' 'with'
 'his' 'American' 'counterpart' '.']",[0 1 2 0 0 0 0 0 0 0 0 0],['O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],12
